run,use_std_normalization,grpo_step,rollout_answer_accuracy,rollout_format_accuracy,avg_response_token_length
std_normalization,True,1,0.015625,0.1796875,305.171875
std_normalization,True,2,0.15234375,0.70703125,160.48828125
std_normalization,True,3,0.25,0.76171875,140.87890625
std_normalization,True,4,0.23828125,0.5859375,206.65625
std_normalization,True,5,0.2890625,0.703125,186.46875
std_normalization,True,6,0.28125,0.76953125,190.07421875
std_normalization,True,7,0.40234375,0.8125,161.73046875
std_normalization,True,8,0.3515625,0.85546875,137.75
std_normalization,True,9,0.41015625,0.90625,138.9765625
std_normalization,True,10,0.359375,0.88671875,126.78515625
std_normalization,True,11,0.31640625,0.9140625,131.09765625
std_normalization,True,12,0.453125,0.86328125,168.15625
std_normalization,True,13,0.4609375,0.859375,195.8046875
std_normalization,True,14,0.35546875,0.7734375,213.2578125
std_normalization,True,15,0.3046875,0.80078125,232.984375
std_normalization,True,16,0.390625,0.75390625,257.19921875
std_normalization,True,17,0.40625,0.84375,231.73828125
std_normalization,True,18,0.3515625,0.76171875,299.2265625
std_normalization,True,19,0.54296875,0.8515625,223.33984375
std_normalization,True,20,0.48828125,0.890625,231.8828125
std_normalization,True,21,0.46484375,0.87109375,241.984375
std_normalization,True,22,0.4609375,0.9140625,239.86328125
std_normalization,True,23,0.48046875,0.921875,232.2734375
std_normalization,True,24,0.4609375,0.89453125,242.0
std_normalization,True,25,0.48828125,0.9375,210.71484375
std_normalization,True,26,0.453125,0.9453125,224.49609375
std_normalization,True,27,0.5859375,0.96484375,216.203125
std_normalization,True,28,0.57421875,0.953125,234.97265625
std_normalization,True,29,0.515625,0.9609375,236.8984375
std_normalization,True,30,0.52734375,0.9453125,245.27734375
std_normalization,True,31,0.60546875,0.96484375,220.6953125
std_normalization,True,32,0.65234375,0.9765625,214.0078125
std_normalization,True,33,0.59375,0.96875,223.9453125
std_normalization,True,34,0.51953125,0.98046875,230.6328125
std_normalization,True,35,0.4765625,0.953125,271.14453125
std_normalization,True,36,0.4375,0.95703125,247.015625
std_normalization,True,37,0.61328125,0.94921875,245.66015625
std_normalization,True,38,0.55078125,0.96875,244.25
std_normalization,True,39,0.625,0.9609375,195.90625
std_normalization,True,40,0.515625,0.953125,256.51171875
std_normalization,True,41,0.58984375,0.9765625,219.43359375
std_normalization,True,42,0.48046875,0.96875,227.39453125
