run,variant,loss_type,cliprange_low,cliprange_high,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,1,2,2,0.6849822998046875,0.32421875,0.00303451856598258,0.2589011962118093,0.30780792236328125,304.609375,0.015625,0.1796875
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,2,4,2,0.5844573974609375,1.6171875,-0.0005602431483566761,0.20783882722025737,0.1416124701499939,126.48046875,0.1171875,0.80859375
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,3,6,2,0.5017929077148438,0.58984375,0.0016985510010272264,0.14551243379537482,0.041052356362342834,142.94921875,0.18359375,0.71484375
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,4,8,2,0.36933135986328125,0.431640625,-0.0033984892070293427,0.04232475863136642,0.005808975547552109,186.61328125,0.203125,0.73046875
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,5,10,2,0.3363494873046875,0.34765625,-0.00516345479991287,0.021468801838636864,0.0035896822810173035,171.7109375,0.296875,0.76953125
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,6,12,2,0.34212493896484375,0.3046875,-0.004867843119427562,0.017913092054186563,0.000960174947977066,171.828125,0.3359375,0.828125
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,7,14,2,0.3318901062011719,0.3046875,-0.0039548835484310985,0.014325689106954087,0.0008732285350561142,181.375,0.37109375,0.8203125
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,8,16,2,0.35797119140625,0.36328125,-0.005378550384193659,0.0185864212389788,0.0025375187397003174,136.48828125,0.390625,0.90625
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,9,18,2,0.29247283935546875,0.3515625,-0.004190530278719962,0.02423047371485154,0.005429128184914589,145.8046875,0.4140625,0.90234375
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,10,20,2,0.24072647094726562,0.2734375,-0.0030921759316697717,0.013580404949607328,0.0031192228198051453,144.6015625,0.578125,0.96875
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,11,22,2,0.25919342041015625,0.298828125,-0.0038688189815729856,0.009362941270410374,0.0016324669122695923,153.67578125,0.484375,0.9375
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,12,24,2,0.25699615478515625,0.291015625,-0.0033164775231853127,0.006130973898962111,0.00014727190136909485,172.89453125,0.46875,0.96875
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,13,26,2,0.2566719055175781,0.2060546875,-0.0020781015045940876,0.006381646929185081,0.000751204788684845,171.24609375,0.50390625,0.98828125
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,14,28,2,0.23947525024414062,0.2265625,-0.0019672118360176682,0.009160046368833719,0.001041250303387642,199.92578125,0.4453125,0.95703125
GRPO-Clip 0.20/0.20 (e2/tb256),symmetric_clip,grpo_clip,0.2,0.2,15,30,2,0.199371337890625,0.2578125,-0.0024702994851395488,0.005413488629528729,0.0005661994218826294,214.640625,0.5703125,0.95703125
