run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
on_policy_reference_e1_tb256,focused,on_policy_reference,1,1,1,0.9270553588867188,0.09423828125,-0.002633252392115537,,,305.171875,0.015625,0.1796875
on_policy_reference_e1_tb256,focused,on_policy_reference,2,2,1,0.43749237060546875,1.5078125,-0.0017721796830301173,,,154.375,0.1484375,0.703125
on_policy_reference_e1_tb256,focused,on_policy_reference,3,3,1,0.5140457153320312,0.4765625,-0.015496694650209974,,,136.484375,0.21484375,0.77734375
on_policy_reference_e1_tb256,focused,on_policy_reference,4,4,1,0.45953369140625,0.494140625,-0.017495391286502127,,,192.91796875,0.28125,0.671875
on_policy_reference_e1_tb256,focused,on_policy_reference,5,5,1,0.46225738525390625,0.361328125,0.0056770156043057796,,,216.97265625,0.27734375,0.67578125
on_policy_reference_e1_tb256,focused,on_policy_reference,6,6,1,0.43103790283203125,0.23828125,-0.002741519419942051,,,285.12109375,0.2265625,0.62890625
on_policy_reference_e1_tb256,focused,on_policy_reference,7,7,1,0.3509559631347656,0.263671875,0.007191687502199784,,,239.78125,0.34375,0.66796875
on_policy_reference_e1_tb256,focused,on_policy_reference,8,8,1,0.40398406982421875,0.1796875,-0.009756796913279686,,,255.85546875,0.3046875,0.640625
on_policy_reference_e1_tb256,focused,on_policy_reference,9,9,1,0.36362457275390625,0.24609375,-0.008590330922743306,,,237.90234375,0.30078125,0.67578125
on_policy_reference_e1_tb256,focused,on_policy_reference,10,10,1,0.3560791015625,0.20703125,-0.010287113196682185,,,253.78515625,0.26953125,0.62109375
on_policy_reference_e1_tb256,focused,on_policy_reference,11,11,1,0.339691162109375,0.1943359375,-0.007291071327927057,,,257.53125,0.265625,0.6640625
on_policy_reference_e1_tb256,focused,on_policy_reference,12,12,1,0.3330078125,0.3515625,-0.02371162511553848,,,191.14453125,0.4609375,0.82421875
on_policy_reference_e1_tb256,focused,on_policy_reference,13,13,1,0.3217964172363281,0.1982421875,-0.017178053472889587,,,229.83203125,0.453125,0.80859375
on_policy_reference_e1_tb256,focused,on_policy_reference,14,14,1,0.3192024230957031,0.169921875,-0.010667588569049258,,,262.83203125,0.43359375,0.7421875
on_policy_reference_e1_tb256,focused,on_policy_reference,15,15,1,0.29853057861328125,0.11669921875,-0.0004833499879168812,,,293.93359375,0.328125,0.71484375
on_policy_reference_e1_tb256,focused,on_policy_reference,16,16,1,0.2672080993652344,0.1123046875,-0.004040832143800799,,,277.6328125,0.4140625,0.76171875
on_policy_reference_e1_tb256,focused,on_policy_reference,17,17,1,0.2964973449707031,0.126953125,-0.005473363180499291,,,283.5546875,0.41796875,0.75390625
on_policy_reference_e1_tb256,focused,on_policy_reference,18,18,1,0.3023872375488281,0.1630859375,-0.008929801781050628,,,308.37890625,0.38671875,0.7265625
on_policy_reference_e1_tb256,focused,on_policy_reference,19,19,1,0.23439979553222656,0.1142578125,-0.0022569565298908856,,,280.31640625,0.56640625,0.77734375
on_policy_reference_e1_tb256,focused,on_policy_reference,20,20,1,0.28946685791015625,0.11376953125,-0.0052484669322439,,,272.2578125,0.4296875,0.81640625
on_policy_reference_e1_tb256,focused,on_policy_reference,21,21,1,0.2798881530761719,0.130859375,-0.007267347960805637,,,274.3984375,0.5,0.8125
on_policy_reference_e1_tb256,focused,on_policy_reference,22,22,1,0.2630805969238281,0.11328125,-0.004221149698423687,,,286.0,0.44921875,0.83984375
on_policy_reference_e1_tb256,focused,on_policy_reference,23,23,1,0.24985122680664062,0.1005859375,-0.007741206442005932,,,278.42578125,0.4921875,0.859375
on_policy_reference_e1_tb256,focused,on_policy_reference,24,24,1,0.232086181640625,0.1357421875,-0.00904249888844788,,,282.51171875,0.46875,0.8125
on_policy_reference_e1_tb256,focused,on_policy_reference,25,25,1,0.2445220947265625,0.11083984375,-0.006484433099103626,,,234.8671875,0.48828125,0.87109375
on_policy_reference_e1_tb256,focused,on_policy_reference,26,26,1,0.2467498779296875,0.10400390625,-0.004881228311205632,,,262.52734375,0.54296875,0.88671875
on_policy_reference_e1_tb256,focused,on_policy_reference,27,27,1,0.2225189208984375,0.1337890625,-0.0026956888250424527,,,239.3125,0.58984375,0.91796875
on_policy_reference_e1_tb256,focused,on_policy_reference,28,28,1,0.23315048217773438,0.126953125,-0.015133628385228803,,,256.1015625,0.6171875,0.8828125
on_policy_reference_e1_tb256,focused,on_policy_reference,29,29,1,0.23001861572265625,0.11669921875,-0.00580477541370783,,,283.2578125,0.55859375,0.9140625
on_policy_reference_e1_tb256,focused,on_policy_reference,30,30,1,0.208740234375,0.0927734375,-0.007686559987632791,,,282.06640625,0.5625,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,31,31,1,0.19797515869140625,0.1064453125,-0.0014039920715731569,,,261.2421875,0.62890625,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,32,32,1,0.19929885864257812,0.111328125,-0.0018205918313469738,,,263.34765625,0.640625,0.9140625
