run,use_std_normalization,grpo_step,rollout_answer_accuracy,rollout_format_accuracy,avg_response_token_length
std_normalization,True,1,0.015625,0.1796875,304.609375
std_normalization,True,2,0.2109375,0.78125,118.234375
std_normalization,True,3,0.30859375,0.765625,166.75390625
std_normalization,True,4,0.3046875,0.83203125,215.44921875
std_normalization,True,5,0.28515625,0.87109375,257.89453125
std_normalization,True,6,0.27734375,0.85546875,265.37109375
std_normalization,True,7,0.3828125,0.85546875,255.03515625
std_normalization,True,8,0.3359375,0.9140625,210.98046875
std_normalization,True,9,0.3828125,0.9296875,236.42578125
std_normalization,True,10,0.38671875,0.9453125,201.484375
std_normalization,True,11,0.3671875,0.953125,230.4609375
std_normalization,True,12,0.41796875,0.9296875,213.0546875
std_normalization,True,13,0.4453125,0.90625,241.796875
std_normalization,True,14,0.4375,0.92578125,227.03515625
std_normalization,True,15,0.35546875,0.96484375,246.79296875
std_normalization,True,16,0.40625,0.94140625,255.46875
std_normalization,True,17,0.4140625,0.953125,254.40625
std_normalization,True,18,0.453125,0.93359375,260.125
std_normalization,True,19,0.61328125,0.921875,261.03125
std_normalization,True,20,0.49609375,0.921875,271.2734375
std_normalization,True,21,0.48828125,0.90625,287.81640625
std_normalization,True,22,0.51171875,0.8984375,318.05859375
std_normalization,True,23,0.5859375,0.9140625,303.96484375
std_normalization,True,24,0.55078125,0.9375,277.5546875
std_normalization,True,25,0.59765625,0.92578125,273.85546875
std_normalization,True,26,0.61328125,0.9140625,303.48046875
std_normalization,True,27,0.62890625,0.93359375,277.1640625
std_normalization,True,28,0.63671875,0.890625,317.83984375
std_normalization,True,29,0.59765625,0.90234375,323.31640625
std_normalization,True,30,0.59765625,0.87890625,352.31640625
std_normalization,True,31,0.66015625,0.91015625,296.6484375
std_normalization,True,32,0.69921875,0.9375,275.0234375
std_normalization,True,33,0.625,0.94921875,247.98828125
std_normalization,True,34,0.60546875,0.8828125,308.84375
std_normalization,True,35,0.6015625,0.9375,326.19921875
std_normalization,True,36,0.5078125,0.91796875,314.15625
std_normalization,True,37,0.69140625,0.93359375,294.32421875
std_normalization,True,38,0.65234375,0.9140625,304.9140625
std_normalization,True,39,0.73046875,0.92578125,287.97265625
std_normalization,True,40,0.6171875,0.9140625,343.26171875
std_normalization,True,41,0.70703125,0.95703125,290.59375
std_normalization,True,42,0.66796875,0.93359375,343.46484375
std_normalization,True,43,0.70703125,0.921875,328.9921875
std_normalization,True,44,0.609375,0.9140625,325.63671875
std_normalization,True,45,0.56640625,0.9296875,341.56640625
std_normalization,True,46,0.57421875,0.859375,390.1484375
std_normalization,True,47,0.76171875,0.96875,273.796875
std_normalization,True,48,0.6484375,0.90625,391.23046875
std_normalization,True,49,0.68359375,0.97265625,336.5546875
std_normalization,True,50,0.7421875,0.9453125,298.64453125
std_normalization,True,51,0.78125,0.9375,327.65625
std_normalization,True,52,0.77734375,0.9375,312.85546875
std_normalization,True,53,0.7890625,0.92578125,337.453125
std_normalization,True,54,0.6484375,0.97265625,285.41796875
std_normalization,True,55,0.796875,0.98828125,315.34375
std_normalization,True,56,0.62890625,0.875,376.94921875
std_normalization,True,57,0.77734375,0.9609375,287.515625
std_normalization,True,58,0.7265625,0.9296875,350.8984375
std_normalization,True,59,0.76171875,0.9296875,368.29296875
std_normalization,True,60,0.5546875,0.92578125,414.0859375
std_normalization,True,61,0.81640625,0.9609375,337.3984375
std_normalization,True,62,0.76171875,0.9609375,351.9296875
std_normalization,True,63,0.75,0.9453125,327.37109375
std_normalization,True,64,0.56640625,0.83984375,462.83984375
std_normalization,True,65,0.74609375,0.92578125,385.328125
std_normalization,True,66,0.7734375,0.9453125,372.53515625
std_normalization,True,67,0.703125,0.85546875,454.1484375
std_normalization,True,68,0.70703125,0.9296875,385.8515625
std_normalization,True,69,0.80078125,0.8984375,394.44921875
std_normalization,True,70,0.6875,0.86328125,424.76953125
std_normalization,True,71,0.4921875,0.80078125,494.47265625
std_normalization,True,72,0.7421875,0.8203125,429.73046875
std_normalization,True,73,0.6875,0.89453125,437.2109375
std_normalization,True,74,0.71484375,0.828125,456.35546875
std_normalization,True,75,0.83984375,0.89453125,487.87109375
std_normalization,True,76,0.78125,0.890625,432.22265625
std_normalization,True,77,0.6015625,0.8125,537.14453125
std_normalization,True,78,0.75390625,0.90234375,474.69921875
std_normalization,True,79,0.76171875,0.8671875,471.73828125
std_normalization,True,80,0.7265625,0.91796875,398.640625
std_normalization,True,81,0.72265625,0.87890625,458.84375
std_normalization,True,82,0.75390625,0.91796875,448.8671875
std_normalization,True,83,0.76953125,0.890625,469.02734375
std_normalization,True,84,0.5546875,0.8359375,546.2734375
std_normalization,True,85,0.71484375,0.91796875,473.30859375
std_normalization,True,86,0.75,0.90625,484.5703125
std_normalization,True,87,0.87109375,0.96875,405.08203125
std_normalization,True,88,0.74609375,0.921875,450.0
std_normalization,True,89,0.81640625,0.94921875,403.77734375
std_normalization,True,90,0.89453125,0.95703125,415.30859375
std_normalization,True,91,0.65234375,0.88671875,502.4765625
std_normalization,True,92,0.61328125,0.859375,566.984375
std_normalization,True,93,0.80078125,0.8984375,471.0234375
std_normalization,True,94,0.76171875,0.875,497.5
std_normalization,True,95,0.78515625,0.890625,478.26953125
std_normalization,True,96,0.75,0.89453125,511.97265625
std_normalization,True,97,0.71875,0.8984375,500.32421875
std_normalization,True,98,0.73828125,0.90625,508.5703125
std_normalization,True,99,0.78125,0.94140625,458.0859375
std_normalization,True,100,0.73828125,0.90234375,448.03125
std_normalization,True,101,0.65625,0.8828125,483.80078125
std_normalization,True,102,0.75390625,0.95703125,369.25
std_normalization,True,103,0.7421875,0.9453125,349.265625
std_normalization,True,104,0.78125,0.97265625,362.17578125
std_normalization,True,105,0.75390625,0.97265625,370.66015625
std_normalization,True,106,0.76171875,0.97265625,361.93359375
std_normalization,True,107,0.7578125,0.95703125,363.99609375
std_normalization,True,108,0.65234375,0.94921875,395.80078125
std_normalization,True,109,0.671875,0.96484375,362.33203125
std_normalization,True,110,0.7734375,0.95703125,377.1953125
std_normalization,True,111,0.578125,0.91796875,456.39453125
std_normalization,True,112,0.703125,0.91796875,391.67578125
std_normalization,True,113,0.7734375,0.953125,361.203125
std_normalization,True,114,0.7421875,0.921875,421.98046875
std_normalization,True,115,0.7265625,0.921875,395.15234375
std_normalization,True,116,0.64453125,0.8671875,484.24609375
std_normalization,True,117,0.7890625,0.9296875,380.390625
std_normalization,True,118,0.71875,0.91015625,401.90234375
std_normalization,True,119,0.77734375,0.9296875,433.203125
std_normalization,True,120,0.6015625,0.921875,452.65625
std_normalization,True,121,0.7421875,0.859375,469.6875
std_normalization,True,122,0.5234375,0.859375,593.3203125
std_normalization,True,123,0.66796875,0.82421875,531.3515625
std_normalization,True,124,0.8984375,0.96875,409.3515625
std_normalization,True,125,0.75,0.89453125,499.109375
std_normalization,True,126,0.80078125,0.91796875,483.12890625
std_normalization,True,127,0.703125,0.8828125,494.796875
std_normalization,True,128,0.73046875,0.8671875,538.828125
std_normalization,True,129,0.7421875,0.90234375,507.171875
std_normalization,True,130,0.75390625,0.890625,450.49609375
std_normalization,True,131,0.69921875,0.859375,482.03515625
std_normalization,True,132,0.78125,0.921875,470.50390625
std_normalization,True,133,0.76953125,0.953125,487.6875
std_normalization,True,134,0.73046875,0.94140625,511.60546875
std_normalization,True,135,0.77734375,0.90625,475.703125
std_normalization,True,136,0.796875,0.90234375,486.04296875
std_normalization,True,137,0.7421875,0.92578125,456.2109375
std_normalization,True,138,0.83984375,0.921875,462.91796875
std_normalization,True,139,0.7890625,0.94921875,445.96484375
std_normalization,True,140,0.59765625,0.82421875,569.76953125
std_normalization,True,141,0.7734375,0.8828125,495.515625
std_normalization,True,142,0.7578125,0.890625,506.51953125
std_normalization,True,143,0.8203125,0.88671875,469.78515625
std_normalization,True,144,0.68359375,0.86328125,538.80078125
std_normalization,True,145,0.7265625,0.92578125,489.30859375
std_normalization,True,146,0.70703125,0.87890625,480.0
std_normalization,True,147,0.6640625,0.84765625,480.0625
std_normalization,True,148,0.765625,0.90234375,520.171875
std_normalization,True,149,0.66796875,0.84765625,531.17578125
std_normalization,True,150,0.703125,0.90625,509.2734375
std_normalization,True,151,0.734375,0.953125,517.8828125
std_normalization,True,152,0.72265625,0.90234375,522.3828125
std_normalization,True,153,0.8359375,0.94921875,453.203125
std_normalization,True,154,0.80078125,0.91015625,494.453125
std_normalization,True,155,0.7109375,0.9140625,465.3828125
std_normalization,True,156,0.86328125,0.96875,444.3671875
std_normalization,True,157,0.6171875,0.828125,591.89453125
