run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length,rollout_seconds
final_on_policy_lr4e-5_400_full_eval,1,0.01953125,0.19140625,306.33984375,8.953976392745972
final_on_policy_lr4e-5_400_full_eval,2,0.2421875,0.74609375,175.7421875,6.8260040283203125
final_on_policy_lr4e-5_400_full_eval,3,0.1875,0.35546875,323.46875,10.06688404083252
final_on_policy_lr4e-5_400_full_eval,4,0.36328125,0.8125,266.1015625,8.319067478179932
final_on_policy_lr4e-5_400_full_eval,5,0.33984375,0.87890625,261.94140625,8.159763813018799
final_on_policy_lr4e-5_400_full_eval,6,0.3203125,0.8984375,275.25390625,9.981073379516602
final_on_policy_lr4e-5_400_full_eval,7,0.53125,0.88671875,250.33984375,7.92106032371521
final_on_policy_lr4e-5_400_full_eval,8,0.4296875,0.8828125,270.44921875,9.892174243927002
final_on_policy_lr4e-5_400_full_eval,9,0.4609375,0.875,270.94140625,8.170095205307007
final_on_policy_lr4e-5_400_full_eval,10,0.55078125,0.9140625,285.34375,8.513365507125854
final_on_policy_lr4e-5_400_full_eval,11,0.46875,0.828125,346.94140625,11.458672761917114
final_on_policy_lr4e-5_400_full_eval,12,0.58203125,0.87109375,282.90234375,8.434396266937256
final_on_policy_lr4e-5_400_full_eval,13,0.62890625,0.85546875,325.3203125,11.33783221244812
final_on_policy_lr4e-5_400_full_eval,14,0.6171875,0.87890625,291.01953125,8.906996250152588
final_on_policy_lr4e-5_400_full_eval,15,0.4765625,0.859375,314.3203125,11.334696292877197
final_on_policy_lr4e-5_400_full_eval,16,0.578125,0.8984375,337.828125,9.577532768249512
final_on_policy_lr4e-5_400_full_eval,17,0.56640625,0.9375,280.65625,10.348405122756958
final_on_policy_lr4e-5_400_full_eval,18,0.49609375,0.80859375,334.26171875,9.298705577850342
final_on_policy_lr4e-5_400_full_eval,19,0.734375,0.92578125,289.07421875,8.602050304412842
final_on_policy_lr4e-5_400_full_eval,20,0.56640625,0.9765625,256.86328125,8.543662309646606
final_on_policy_lr4e-5_400_full_eval,21,0.6171875,0.9375,297.3671875,9.207116603851318
final_on_policy_lr4e-5_400_full_eval,22,0.59375,0.90625,328.89453125,10.248221397399902
final_on_policy_lr4e-5_400_full_eval,23,0.640625,0.96484375,278.48046875,8.748660564422607
final_on_policy_lr4e-5_400_full_eval,24,0.609375,0.9453125,301.50390625,9.290465831756592
final_on_policy_lr4e-5_400_full_eval,25,0.6328125,0.9375,268.28515625,11.710524082183838
final_on_policy_lr4e-5_400_full_eval,26,0.62890625,0.9375,296.265625,9.115512132644653
final_on_policy_lr4e-5_400_full_eval,27,0.703125,0.953125,296.89453125,8.99946141242981
final_on_policy_lr4e-5_400_full_eval,28,0.7109375,0.98046875,281.5703125,11.250564336776733
final_on_policy_lr4e-5_400_full_eval,29,0.64453125,0.9375,349.265625,9.922890186309814
final_on_policy_lr4e-5_400_full_eval,30,0.62890625,0.94140625,337.546875,9.686441898345947
final_on_policy_lr4e-5_400_full_eval,31,0.7265625,0.9296875,319.26953125,11.658699989318848
final_on_policy_lr4e-5_400_full_eval,32,0.7109375,0.93359375,302.76171875,8.831883907318115
final_on_policy_lr4e-5_400_full_eval,33,0.703125,0.93359375,284.03515625,8.604825258255005
final_on_policy_lr4e-5_400_full_eval,34,0.65234375,0.94921875,336.04296875,11.980902433395386
final_on_policy_lr4e-5_400_full_eval,35,0.63671875,0.93359375,363.65625,9.74739670753479
final_on_policy_lr4e-5_400_full_eval,36,0.60546875,0.94140625,347.50390625,9.860661029815674
final_on_policy_lr4e-5_400_full_eval,37,0.6640625,0.93359375,323.29296875,12.499428987503052
final_on_policy_lr4e-5_400_full_eval,38,0.66796875,0.953125,336.33984375,9.819418907165527
final_on_policy_lr4e-5_400_full_eval,39,0.75390625,0.91796875,318.6328125,9.253098964691162
final_on_policy_lr4e-5_400_full_eval,40,0.65625,0.91015625,384.05078125,13.87535810470581
final_on_policy_lr4e-5_400_full_eval,41,0.7578125,0.9375,334.00390625,9.609243154525757
final_on_policy_lr4e-5_400_full_eval,42,0.6796875,0.93359375,366.12890625,10.158766031265259
final_on_policy_lr4e-5_400_full_eval,43,0.7265625,0.91796875,344.28125,9.809593439102173
final_on_policy_lr4e-5_400_full_eval,44,0.65234375,0.91796875,353.74609375,14.355345010757446
final_on_policy_lr4e-5_400_full_eval,45,0.6015625,0.8984375,378.7890625,10.375909805297852
final_on_policy_lr4e-5_400_full_eval,46,0.57421875,0.87109375,390.25,10.567427635192871
final_on_policy_lr4e-5_400_full_eval,47,0.703125,0.95703125,293.9296875,9.013962030410767
final_on_policy_lr4e-5_400_full_eval,48,0.62890625,0.90234375,430.79296875,12.13487458229065
final_on_policy_lr4e-5_400_full_eval,49,0.64453125,0.94140625,361.9453125,10.308729887008667
final_on_policy_lr4e-5_400_full_eval,50,0.703125,0.90625,340.75390625,9.689961671829224
final_on_policy_lr4e-5_400_full_eval,51,0.75390625,0.9375,347.91796875,9.75760793685913
final_on_policy_lr4e-5_400_full_eval,52,0.7890625,0.9296875,335.03515625,9.95601224899292
final_on_policy_lr4e-5_400_full_eval,53,0.7578125,0.9140625,370.02734375,10.100605010986328
final_on_policy_lr4e-5_400_full_eval,54,0.60546875,0.93359375,304.3359375,9.238417387008667
final_on_policy_lr4e-5_400_full_eval,55,0.7890625,0.95703125,355.7578125,9.823241472244263
final_on_policy_lr4e-5_400_full_eval,56,0.6328125,0.86328125,398.93359375,21.854549884796143
final_on_policy_lr4e-5_400_full_eval,57,0.75,0.97265625,300.4296875,21.570741176605225
final_on_policy_lr4e-5_400_full_eval,58,0.72265625,0.8984375,383.11328125,11.522149324417114
final_on_policy_lr4e-5_400_full_eval,59,0.7734375,0.97265625,353.1953125,9.848389625549316
final_on_policy_lr4e-5_400_full_eval,60,0.5859375,0.9453125,386.2734375,10.78392505645752
final_on_policy_lr4e-5_400_full_eval,61,0.80078125,0.95703125,348.484375,10.003656387329102
final_on_policy_lr4e-5_400_full_eval,62,0.75390625,0.95703125,355.52734375,10.069636344909668
final_on_policy_lr4e-5_400_full_eval,63,0.75390625,0.9609375,325.984375,9.305754899978638
final_on_policy_lr4e-5_400_full_eval,64,0.60546875,0.9296875,386.23046875,10.612458229064941
final_on_policy_lr4e-5_400_full_eval,65,0.765625,0.97265625,354.39453125,9.8776535987854
final_on_policy_lr4e-5_400_full_eval,66,0.76953125,0.98046875,348.2109375,10.214021682739258
final_on_policy_lr4e-5_400_full_eval,67,0.609375,0.91796875,427.671875,11.130937576293945
final_on_policy_lr4e-5_400_full_eval,68,0.671875,0.95703125,372.1953125,10.468939065933228
final_on_policy_lr4e-5_400_full_eval,69,0.77734375,0.9765625,332.5546875,9.402105331420898
final_on_policy_lr4e-5_400_full_eval,70,0.75,0.9765625,351.5703125,9.689201354980469
final_on_policy_lr4e-5_400_full_eval,71,0.47265625,0.89453125,449.12890625,11.893318176269531
final_on_policy_lr4e-5_400_full_eval,72,0.73828125,0.94140625,338.73828125,9.818346500396729
final_on_policy_lr4e-5_400_full_eval,73,0.7109375,0.9453125,362.265625,15.761908054351807
final_on_policy_lr4e-5_400_full_eval,74,0.7421875,0.953125,373.52734375,10.419985294342041
final_on_policy_lr4e-5_400_full_eval,75,0.79296875,0.96875,391.9453125,10.414880990982056
final_on_policy_lr4e-5_400_full_eval,76,0.7265625,0.9453125,368.53515625,10.092575788497925
final_on_policy_lr4e-5_400_full_eval,77,0.6484375,0.8828125,465.9296875,11.944325685501099
final_on_policy_lr4e-5_400_full_eval,78,0.76171875,0.953125,378.11328125,19.117758989334106
final_on_policy_lr4e-5_400_full_eval,79,0.73046875,0.9609375,354.27734375,9.698349475860596
final_on_policy_lr4e-5_400_full_eval,80,0.75390625,0.96875,341.66015625,9.57547926902771
final_on_policy_lr4e-5_400_full_eval,81,0.7421875,0.93359375,358.97265625,11.006122350692749
final_on_policy_lr4e-5_400_full_eval,82,0.77734375,0.9609375,370.6875,18.034226417541504
final_on_policy_lr4e-5_400_full_eval,83,0.76953125,0.92578125,387.5390625,10.665352582931519
final_on_policy_lr4e-5_400_full_eval,84,0.5546875,0.8671875,466.015625,12.225707292556763
final_on_policy_lr4e-5_400_full_eval,85,0.69140625,0.94921875,403.4296875,10.814781188964844
final_on_policy_lr4e-5_400_full_eval,86,0.71875,0.9375,409.1796875,10.685280799865723
final_on_policy_lr4e-5_400_full_eval,87,0.8515625,0.96875,332.36328125,9.422768831253052
final_on_policy_lr4e-5_400_full_eval,88,0.6796875,0.91015625,428.8125,17.993046283721924
final_on_policy_lr4e-5_400_full_eval,89,0.78515625,0.91015625,380.71875,10.847485542297363
final_on_policy_lr4e-5_400_full_eval,90,0.8671875,0.97265625,354.50390625,9.810237169265747
final_on_policy_lr4e-5_400_full_eval,91,0.6640625,0.8515625,467.09765625,12.749714612960815
final_on_policy_lr4e-5_400_full_eval,92,0.62890625,0.875,485.87109375,14.34276556968689
final_on_policy_lr4e-5_400_full_eval,93,0.75,0.90625,420.86328125,11.31203842163086
final_on_policy_lr4e-5_400_full_eval,94,0.78515625,0.90234375,400.3359375,10.65248727798462
final_on_policy_lr4e-5_400_full_eval,95,0.77734375,0.94921875,377.46875,10.50475025177002
final_on_policy_lr4e-5_400_full_eval,96,0.7578125,0.91015625,417.9609375,10.875322818756104
final_on_policy_lr4e-5_400_full_eval,97,0.69140625,0.9140625,441.5234375,11.795279741287231
final_on_policy_lr4e-5_400_full_eval,98,0.6953125,0.9296875,445.4375,11.28812026977539
final_on_policy_lr4e-5_400_full_eval,99,0.67578125,0.8828125,445.19921875,11.179963111877441
final_on_policy_lr4e-5_400_full_eval,100,0.7265625,0.93359375,424.1015625,10.896804094314575
