run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length
grpo_sft256_step100_kl0p01_190,1,0.41015625,0.875,274.32421875
grpo_sft256_step100_kl0p01_190,2,0.65234375,0.96875,189.4296875
grpo_sft256_step100_kl0p01_190,3,0.5703125,0.984375,148.1953125
grpo_sft256_step100_kl0p01_190,4,0.4609375,0.96484375,216.8203125
grpo_sft256_step100_kl0p01_190,5,0.47265625,0.984375,201.24609375
grpo_sft256_step100_kl0p01_190,6,0.33203125,0.96484375,232.8359375
grpo_sft256_step100_kl0p01_190,7,0.515625,0.98828125,184.21875
grpo_sft256_step100_kl0p01_190,8,0.45703125,0.98828125,175.33984375
grpo_sft256_step100_kl0p01_190,9,0.45703125,0.9921875,168.84765625
grpo_sft256_step100_kl0p01_190,10,0.453125,0.96484375,183.359375
grpo_sft256_step100_kl0p01_190,11,0.41015625,0.96875,224.44140625
grpo_sft256_step100_kl0p01_190,12,0.609375,0.98828125,181.60546875
grpo_sft256_step100_kl0p01_190,13,0.48828125,0.984375,206.375
grpo_sft256_step100_kl0p01_190,14,0.5078125,0.96484375,199.7109375
grpo_sft256_step100_kl0p01_190,15,0.359375,0.953125,249.48046875
grpo_sft256_step100_kl0p01_190,16,0.4375,0.98046875,198.1640625
grpo_sft256_step100_kl0p01_190,17,0.39453125,0.95703125,232.2578125
grpo_sft256_step100_kl0p01_190,18,0.40234375,0.96484375,246.40625
grpo_sft256_step100_kl0p01_190,19,0.578125,0.96484375,195.86328125
grpo_sft256_step100_kl0p01_190,20,0.42578125,0.96484375,214.15234375
grpo_sft256_step100_kl0p01_190,21,0.4375,0.97265625,220.80078125
grpo_sft256_step100_kl0p01_190,22,0.484375,0.95703125,242.84765625
grpo_sft256_step100_kl0p01_190,23,0.515625,0.98046875,207.07421875
grpo_sft256_step100_kl0p01_190,24,0.47265625,0.984375,196.92578125
grpo_sft256_step100_kl0p01_190,25,0.49609375,0.9921875,173.015625
grpo_sft256_step100_kl0p01_190,26,0.45703125,0.98046875,238.62890625
grpo_sft256_step100_kl0p01_190,27,0.5625,0.984375,200.83984375
grpo_sft256_step100_kl0p01_190,28,0.55078125,0.97265625,218.83984375
grpo_sft256_step100_kl0p01_190,29,0.4765625,0.98046875,246.8359375
